tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt2980648,movie,The Hundred-Foot Journey,The Hundred-Foot Journey,0,2014,\N,122,"Comedy,Drama"
tt3011894,movie,Wild Tales,Relatos salvajes,0,2014,\N,122,"Comedy,Drama,Thriller"
tt3045616,movie,Mortdecai,Mortdecai,0,2015,\N,107,"Action,Adventure,Comedy"
tt3062976,movie,Learning to Drive,Learning to Drive,0,2014,\N,90,"Comedy,Drama,Romance"
tt3064298,movie,Man Up,Man Up,0,2015,\N,88,"Comedy,Drama,Romance"
tt3077214,movie,Suffragette,Suffragette,0,2015,\N,106,"Drama,History"
tt3099498,movie,Tusk,Tusk,0,2014,\N,102,"Comedy,Horror"
tt3170832,movie,Room,Room,0,2015,\N,118,"Drama,Thriller"
tt3172532,movie,The Diary of a Teenage Girl,The Diary of a Teenage Girl,0,2015,\N,102,"Comedy,Drama,Romance"
tt3181822,movie,The Boy Next Door,The Boy Next Door,0,2015,\N,91,Thriller
tt3203606,movie,Trumbo,Trumbo,0,2015,\N,124,"Biography,Drama"
tt3205376,movie,Slow West,Slow West,0,2015,\N,84,"Action,Adventure,Drama"
tt3235888,movie,It Follows,It Follows,0,2014,\N,100,"Horror,Mystery,Thriller"
tt3236120,movie,I'll See You in My Dreams,I'll See You in My Dreams,0,2015,\N,92,"Comedy,Drama,Romance"
tt3312830,movie,Youth,Youth,0,2015,\N,124,"Comedy,Drama,Music"
tt3316948,movie,American Ultra,American Ultra,0,2015,\N,96,"Action,Comedy"
tt3316960,movie,Still Alice,Still Alice,0,2014,\N,101,Drama
tt3332064,movie,Pan,Pan,0,2015,\N,111,"Action,Adventure,Comedy"
tt3397884,movie,Sicario,Sicario,0,2015,\N,121,"Action,Crime,Drama"
tt3416744,movie,The End of the Tour,The End of the Tour,0,2015,\N,106,"Biography,Drama"
tt3442006,movie,Cake,Cake,0,2014,\N,102,Drama
tt3464902,movie,The Lobster,The Lobster,0,2015,\N,119,"Drama,Romance,Sci-Fi"
tt3569230,movie,Legend,Legend,0,2015,\N,132,"Biography,Crime,Drama"
tt3622592,movie,Paper Towns,Paper Towns,0,2015,\N,109,"Adventure,Comedy,Drama"
tt3640682,movie,I Smile Back,I Smile Back,0,2015,\N,85,"Drama,Mystery,Romance"
tt3659388,movie,The Martian,The Martian,0,2015,\N,144,"Adventure,Drama,Sci-Fi"
tt3682448,movie,Bridge of Spies,Bridge of Spies,0,2015,\N,142,"Drama,History,Thriller"
tt3704050,movie,Remember,Remember,0,2015,\N,94,"Drama,Mystery,Thriller"
tt3722070,movie,The Lady in the Van,The Lady in the Van,0,2015,\N,104,"Biography,Comedy,Drama"
tt3733778,movie,Pay the Ghost,Pay the Ghost,0,2015,\N,94,"Horror,Mystery"
tt3808342,movie,Son of Saul,Saul fia,0,2015,\N,107,"Drama,War"
tt3850214,movie,Dope,Dope,0,2015,\N,103,"Adventure,Comedy,Crime"
tt3859076,movie,Truth,Truth,0,2015,\N,125,"Biography,Drama,History"
tt4270516,movie,Grandma,Grandma,0,2015,\N,79,"Comedy,Drama"
